,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Planet_Star,0,761.1941317841099,3.837124683244838,0.0,0.9999999999840838,9.352174636435247,0.0,False,log
Single_Star,1,673.2362328798818,12.463605662288728,87.95789890422837,1.5916157281026244e-11,17.821520965138546,16.78558220988782,False,log
