,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Planet_Star,0,557.4392965316731,21.058522343915456,0.0,1.0,39.04694792140641,0.0,True,log
Single_Star,1,-3089.890289949649,435.6053142438982,3647.3295864813213,0.0,487.5617513263303,474.6197062521287,True,log
